company_a_name,company_a_address,company_a_state,company_a_activity,company_b_name,company_b_address,company_b_state,company_b_activity,same_entity
RNVP TECHNOLOGY,HOUSE No.-B-9012Prateek The Royal Cliff Crossing Republik  ,Uttar Pradesh,Real estate renting and business activities,RNVP TECHNOLOGY PVT. LTD.,HOUSE No.-B-9012Prateek The Royal Cliff Crossing Republik  ,Uttar Pradesh,Real estate renting and business activities,1
AKRON INFRAWAYS,"F.No.702, Krishna Harmoni14/2, New Plasia  ",Madhya Pradesh,Real estate renting and business activities,AKRON INFRAWAYS LIMITED,"F.No.702, Krishna Harmoni14/2, New Plasia  ",Madhya Pradesh,Real estate renting and business activities,1
GREEN FIELD CARPORATION,MEERUT ROAD MAWANAOPPOSITE RELIANCE PETROL PUMP  ,Uttar Pradesh,Manufacturing,RUHMESA,"646, LIG, NEAR WATER TANKBHARATI NAGAR  ",Telangana,Real estate renting and business activities,0
GYANMANI INFRATECH,"WA/23, FIRST FLOORSHAKARPUR  ",Delhi,Real estate renting and business activities,2B CINEMATOGRAPHIC FILMS AND RECORDING,"UNIT NO-517, 5TH FLOOR, BLDG NO-9,LAXMI PLAZA ,LAXMI INDUSTRIAL ESTATE, NEW LINK ROAD,ANDHERI (W)  ",Maharashtra,Real estate renting and business activities,0
S V SERVICES,"KH NO. 126,VILLAGE NANGLOIPOLE NO. MDK MD I, NEAR POST OFFICE  ",Delhi,Real estate renting and business activities,S V SERVICES PVT LTD,"KH NO. 126,VILLAGE NANGLOIPOLE NO. MDK MD I, NEAR POST OFFICE  ",Delhi,Real estate renting and business activities,1
BETAMAGIC GLOBAL,"504, TRISHUL CHS NO. 2, 7 BUNGLOWS,VERSOVA, ANDHERI WEST,  ",Maharashtra,Real estate renting and business activities,AMENA CORPORATION,,Maharashtra,Extraterritorial organizations and bodies,0
CONSTROEDUMEDIA,"TRIMURTI,2100K/150/3,E WARD,MAHADIK COLONY,  ",Maharashtra,Real estate renting and business activities,TECHUPGRADE SOLUUTIONS,"#353/H, Ground Floor, 9th J Main,Vijayanagar,  ",Karnataka,Real estate renting and business activities,0
RIMA AGENCIES,28/1756  AMALA BHAVAN ROADKADAVANTHARACOCHIN  ,Kerala,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,RIMA  AGENCIES,28/1756  AMALA BHAVAN ROADKADAVANTHARACOCHIN  ,Kerala,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
VIMAL VILLA INFRA REALCON INDIA,"142/B, SHANTI NAGAR,DISTT INDORE  ",Madhya Pradesh,Construction,LATCOM TECHNOLOGIES,"II FLOOR, R.K.BUILDING,ABOVE POPULAR FINANCE,NEAR BSNL TELEPHONE EXCHANGE,ELOOR ROAD,  ",Kerala,Real estate renting and business activities,0
DURVASHA KRISHAK PRODUCER COMPANYLIMITED,66saron sarain  ,Uttar Pradesh,Agriculture & allied,KANTICOY HEALTHCARE,"305, JAINA TOWER-I, PLOT NO-3JANAK PURI DISTRICT CENTRE  ",Delhi,Manufacturing,0
AKASAKI INFRASTRUCTURE,"R-7, 2ND FLOOR,RAJOURI GARDEN  ",Delhi,Construction,AKASAKIINFRASTRUCTURE,"R-7, 2ND FLOOR,RAJOURI GARDEN  ",Delhi,Construction,1
BELLACARIBE GEMS INDIA,"FLATE NO. S-3 P-6,AMBABARI  ",Rajasthan,Real estate renting and business activities,BELLACARIBE GEMS INDIA LIMITED,"FLATE NO. S-3 P-6,AMBABARI  ",Rajasthan,Real estate renting and business activities,1
COLLUSION SOLUTIONS,"NO.150/100, PERAMBUR BARRACKSROAD,CHENNAI-7.  ",Tamil Nadu,Real estate renting and business activities,GRANDPRIX INFRASTRUCTURE REALTIES,"148, Atlanta TowerJamnalal Bajaj Road, Nariman Point  ",Maharashtra,Real estate renting and business activities,0
TINY HILL AGRO ALLIED ENTERPRISE,DEWANCACHAR   ,Assam,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,TINY HILL AGRO ALLIED ENTERPRISE LIMITED,DEWANCACHAR   ,Assam,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
MRZ SHIPPING LOGISTICS,"Office No. 1, Behind Empire Plaza,Vikhroli (W)  ",Maharashtra,Real estate renting and business activities,MRZ SHIPPING LOGISTICS PVT. LTD.,"Office No. 1, Behind Empire Plaza,Vikhroli (W)  ",Maharashtra,Real estate renting and business activities,1
RAVI SURGICAL AND LAPROSCOPIC RESEARCHCENTRE,55 SAIKRUPA GRUH NIRMAN SOCCONTONMENT AREAYERKHEDA KAMPTEE  ,Maharashtra,Health and social work,RAVI SURGICAL AND LAPROSCOPIC RESEARCHCENTRE PRIVATE LIMITED,55 SAIKRUPA GRUH NIRMAN SOCCONTONMENT AREAYERKHEDA KAMPTEE  ,Maharashtra,Health and social work,1
SHRI RAMCHANDRA TOOLS,"5-8-512/22, ABID SHOPPINGCENTRE, HYDERABAD-1   ",Telangana,Manufacturing,P C ORCHARDS,"8-C, SINGAR NAGARALAMBAGHLUCKNOW  ",Uttar Pradesh,Agriculture & allied,0
JABALPUR TRADE CENTRE,"37-38, LASUDIA MORIDEWAS NAKA, A.B. ROAD  ",Madhya Pradesh,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,TRAVOVIA INDIA,"A-14,SHANTI DHAMKHANDHARI BYE PASS MAU ROAD  ",Uttar Pradesh,Real estate renting and business activities,0
NACHIAR TECHNOLOGIES,"PLOT NO.59, F-2, FIRST FLOOR,CHURCH AVENUE, VGP SHANTHI NAGAR EXTN,  ",Tamil Nadu,Real estate renting and business activities,NACHIARTECHNOLOGIES,"PLOT NO.59, F-2, FIRST FLOOR,CHURCH AVENUE, VGP SHANTHI NAGAR EXTN,  ",Tamil Nadu,Real estate renting and business activities,1
SKYLINE MILLARS,"CHURCHGATE HOUSE, 4TH FLOOR,32-34, VEER NARIMAN ROAD, FORT,  ",Maharashtra,Transport storage and communications,SKYLINE MILLARS PVT LTD,"CHURCHGATE HOUSE, 4TH FLOOR,32-34, VEER NARIMAN ROAD, FORT,  ",Maharashtra,Transport storage and communications,1
CHICHALI FARMERS PRODUCER COMPANYLIMITED,ABOVE LIC OFFICE STATION ROAD   ,Madhya Pradesh,Agriculture & allied,TANAGERS VINIMAY,9/12 LAL BAZAR STREET MERCANTILE BUILDING BLOCK B3rd FLOOR  ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
SARPAR INVESTMENTS,"ROOM NO.5, LUZ BAZAAR4, R.K. MUTT ROAD,MYLAPORE  ",Tamil Nadu,Financial intermediation,SARPAR INVESTMENTS PRIVATE LIMITED,"ROOM NO.5, LUZ BAZAAR4, R.K. MUTT ROAD,MYLAPORE  ",Tamil Nadu,Financial intermediation,1
MISCHEF BISTRO TECHNOLOGIES,"NO 67, LUZ CHURCH ROADMYLAPORE  ",Tamil Nadu,Manufacturing,MISCHEF BISTRO TECHNOLOGIES PVT. LTD.,"NO 67, LUZ CHURCH ROADMYLAPORE  ",Tamil Nadu,Manufacturing,1
MOHATA STOCK BROKERS,"3031 JASH TEXTILE & YARN MARKET,RING ROAD, SURAT   ",Gujarat,Financial intermediation,MOHATA STOCK BROKERS PVT LTD,"3031 JASH TEXTILE & YARN MARKET,RING ROAD, SURAT   ",Gujarat,Financial intermediation,1
PARAMANANDA INFRASTRUCTURE,"Hig-184, Kanan ViharPhase/1, Chandrasekharpur  ",Orissa,Construction,ERAM PROPERTY NETWORK,"14/47-2, Trichy RoadChinthamanipudur  ",Tamil Nadu,Real estate renting and business activities,0
LANCE ORGANICS,"A-3, MADHVA APARTMENTS2-2-23/41/4&5, BANK COLONYBAGH AMBERPET,  ",Telangana,Manufacturing,AJEETE TOWERS,"BOTHRA COMPLEX,MODERN MARKET,BIKANER,  ",Rajasthan,Construction,0
PJP MARKETING,152SARAI JULENA  ,Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,PJP MARKETING LIMITED,152SARAI JULENA  ,Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
DECALS DESIGN,24(2) Main StreetThirumuruganpoondi  ,Tamil Nadu,Real estate renting and business activities,OMTRADERS SCRAP MANAGEMENT SERVICES,460/14GURUGRAM  ,Haryana,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
NATRAJAN PAPER MILL,"A-45, Megmallar Sarani, Bidhannagar,Durgapur  ",West Bengal,Manufacturing,NATRAJAN PAPER MILL PVT LTD,"A-45, Megmallar Sarani, Bidhannagar,Durgapur  ",West Bengal,Manufacturing,1
ESS TEE AGRO OILS,"PLOT NO. 2, KH. NO. 92/23JHARODA KALAN  ",Delhi,Manufacturing,ESSTEEAGROOILS,"PLOT NO. 2, KH. NO. 92/23JHARODA KALAN  ",Delhi,Manufacturing,1
SAILOR NETWORK MARKETING,VILLAGE LANDORAP. O. BARA GAON  ,Haryana,Other community social and personal service activities,SAILOR NETWORK MARKETING PVT. LTD.,VILLAGE LANDORAP. O. BARA GAON  ,Haryana,Other community social and personal service activities,1
HTI SOLUTIONS INDIA,"A/4, Rolex Building, Next to ShantinathShopping Centre, S. V. Road, Malad (West),  ",Maharashtra,Real estate renting and business activities,FORTUNEPAL,"S/NO. 129/45, IDEAL COLONY, (GARAGE),SHRI DURGA CO. OP. HSG. SOC, KOTHRUD  ",Maharashtra,Other community social and personal service activities,0
GEOF W ROSE CO ELECTRICAL,12 CHOWRINGHEE SQUARE   ,West Bengal,Manufacturing,BRIYA ENTERPRISE,"9, 3RD FLOOR, HARSIDHH CHAMBERS,INCOME TAX, CHAR RASTA, ASHRAM ROAD  ",Gujarat,Construction,0
BOMBAY GARMENTS,22/A FILM CENTER68 TARDEO ROAD   ,Maharashtra,Manufacturing,BOMBAY GARMENTS PRIVATE LIMITED,22/A FILM CENTER68 TARDEO ROAD   ,Maharashtra,Manufacturing,1
RSG MAINTENANCE SERVICES,"SUKHAM TOWER, SECOND FLOOR, OFFICE NO. 260,MAIN ROAD, OPPOSITE M.P. SCHOOL BHIWADI  ",Rajasthan,Real estate renting and business activities,SAKET EXTRUSIONS,"4, SYNAGOGUE STREETCALCUTTA  ",West Bengal,Manufacturing,0
M K PATEL AND COMPANY COAL SALES,"WAKEFIELD HOUSE, 2ND FLOOR,SPROTT ROADBALLARD ESTATW, MUMBAI-400 038.  ",Maharashtra,Extraterritorial organizations and bodies,OPAL OVERSEAS,"G-1/A,RAJOURI GARDEN  ",Delhi,Real estate renting and business activities,0
PLATINUM INSURANCE CONSULTANTS,"H. No. 284,VILLAGE AND POST USFAR,  ",Uttar Pradesh,Financial intermediation,BLACK PITCHER,No. 6Kanpur Road  ,Uttar Pradesh,Manufacturing,0
NOBLE HOMES,"30, A/6, CATHEDRAL GARDEN ROADNUNGAMBAKKAMCHENNAI 600 034  ",Tamil Nadu,Construction,NOBLEHOMES,"30, A/6, CATHEDRAL GARDEN ROADNUNGAMBAKKAMCHENNAI 600 034  ",Tamil Nadu,Construction,1
HILIFE PROJECTS,"'SATYAM APARTMENTS' BAIKUNTHA PALLY, SESH BASANTHASESH BASANTHA (BY LANE)  ",West Bengal,Real estate renting and business activities,SIJBERIA DEVELOPERS,"23C ASHUTOSH CHOUDHURY AVENUEKCI PLAZA, 7TH FLOOR,  ",West Bengal,Real estate renting and business activities,0
FAIRDEAL VALVES,"53, PRACHINA SOCIETY,JUNAPURASARKHEJ ROAD,   ",Gujarat,Manufacturing,FAIRDEAL VALVES LIMITED,"53, PRACHINA SOCIETY,JUNAPURASARKHEJ ROAD,   ",Gujarat,Manufacturing,1
SPELLBOUND VISUAL EFFECTS ANIMATION,"NO.N5, 3RD FLOOR, SBI BUILDINGJAWAHARLAL NEHRU ROAD, EKKATATHANGAL,  ",Tamil Nadu,Real estate renting and business activities,SPELLBOUND  VISUAL  EFFECTS  ANIMATION,"NO.N5, 3RD FLOOR, SBI BUILDINGJAWAHARLAL NEHRU ROAD, EKKATATHANGAL,  ",Tamil Nadu,Real estate renting and business activities,1
MAYFAIR SOFTWARE,"537,1STFLOOR,ROBBY ARCADE,C.M.H ROAD,INDIRANAGAR,BANGALORE-560 038.  ",Karnataka,Agriculture & allied,MAYFAIR SOFTWARE PRIVATE LIMITED,"537,1STFLOOR,ROBBY ARCADE,C.M.H ROAD,INDIRANAGAR,BANGALORE-560 038.  ",Karnataka,Agriculture & allied,1
AMETHYST ENERGY,"HOUSE NO 64, BLOCK-A, PKT 1SECTOR 17, ROHINI  ",Delhi,Electricity gas and water supply,LEAD CORPORATE MANAGEMENT CONSULTANTS,"Plot No. 25Renuka Nagar, Neredmet, Secunderabad.  ",Telangana,Other community social and personal service activities,0
SILVESTER DEVELOPERS,"Flat No. 11, Ground Floor27A Rowland Road  ",West Bengal,Construction,HIMALAYAN FILMS,VILLEGE KONDULIP.O. KONDULI  ,Uttaranchal,Other community social and personal service activities,0
JBB MARKETING,"305-RADHA KRISHNA COMPLEX,A.B.ROAD,.INDORE  ",Madhya Pradesh,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,IKOKAS TECHNOLOGIES,"1917/19, Govind PuriExtension  ",Delhi,Real estate renting and business activities,0
UENIKE GARMENTS INDIA,"204, H-58, 3RD FLOOR, I.P. BUILDINGVIKAS MARG, LAXMI NAGAR  ",Delhi,Manufacturing,SATPRIY MOTOR AND GENERAL FINANCE CO,"1201, BARADARI, BEHIND NOVELTYCENEMA DELHI-110006.   ",Delhi,Financial intermediation,0
SHREE TIRUPATI INDUSTRIAL ESTATEDEVELOPMENT,VIMAL SADAN 11LANE PRABHAT ROAD   ,Maharashtra,Manufacturing,MEMORIA VINCOM,"9, LAL BAZAR STREET3RD FLOOR  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
VIDULLATHA CHITS,"CTS No.3248, Ward No.6Hospeth, Kamatagi Road  ",Karnataka,Financial intermediation,CSIOM SOLUTIONS,127 CENTRAL TOWNDAAD VIA LALITON KALAN  ,Punjab,Real estate renting and business activities,0
NAHAR FIBRES,"HERO NAGAR, G.T.ROAD,LUDHIANA.   ",Punjab,Manufacturing,MYSORE HOLDINGS,"29th Flr,World Trade Center,Brigade Gateway Campus26/1, Dr.Rajkumar Road, Malleswaram-Rajajinagar  ",Karnataka,Real estate renting and business activities,0
PUSHPA HOTELS AND RESORTS,PUSHPA HEIGHTSPUNE-SATARA ROAD   ,Maharashtra,Hotels and restaurants,AMIN AGENCY,"ABAOVE LIBERTY HOTEL,1ST FLOORB/H.BAZAR GATEMOTABAZAR, NAVSARI-45.  ",Gujarat,Extraterritorial organizations and bodies,0
SHYAMSHREE NIKETAN,"SHYAM TOWERSEN-32, SECTOR-V, SALT LAKE CITY  ",West Bengal,Real estate renting and business activities,ALCEA SERVICES,"BA -33KRISHNAPUR ROAD,  ",West Bengal,Real estate renting and business activities,0
GEMTECH CONSULTANTS,"PLOT NO-K-8/625KALINGA NAGAR, GHATIKIA  ",Orissa,Real estate renting and business activities,NILAMBUR TIMBERS,201 BUSSA IND ESTATECENTURY BAZAR LANEPRABHADEVI  ,Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
ZIEON CREATION INDIA,"HEG-21/1C Chapel View, Room No.43/D,Chapel RO, NR Lovely Store, Bandra(West)  ",Maharashtra,Real estate renting and business activities,ZIEON CREATION INDIA PVT LTD,"HEG-21/1C Chapel View, Room No.43/D,Chapel RO, NR Lovely Store, Bandra(West)  ",Maharashtra,Real estate renting and business activities,1
INDA BUILDERS AND DEVELOPERS,"Plot No 16-17, Block CAshapurna Township, Uchiyarda  ",Rajasthan,Real estate renting and business activities,KALKIRAAJ ENERGY INDIA,49-50 EAST CAR STREET   ,Tamil Nadu,Electricity gas and water supply,0
NATUREBORN RETAIL,"GROUND FLOOR, PLOT NO. 27/2SPECIAL PHASE, HAROON NAGAR, SEC-2  ",Bihar,Real estate renting and business activities,NATUREBORN  RETAIL,"GROUND FLOOR, PLOT NO. 27/2SPECIAL PHASE, HAROON NAGAR, SEC-2  ",Bihar,Real estate renting and business activities,1
FHI SOLUTIONS LLC,"3/339, VINAMRA KHANDGOMTI NAGAR  ",Uttar Pradesh,Agriculture & allied,S D R PHARMACEUTICALS,S-170/BSHAKTI NAGAR  ,Uttar Pradesh,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
DREAMDEVELOPERS TRADEMART,"107-D, MANAS VIHAR COLONYSANGAM CHOWK, PADRI BAZAR  ",Uttar Pradesh,Real estate renting and business activities,CONFINPEACE SECURITIES,112 SHRI NATH SEVAKOTA PARISAR-324005  ,Rajasthan,Real estate renting and business activities,0
HUMAN SETTLEMENTS TECHNOCRATS ANDCONTRACTORS,"B-2, GOVIND MARGNEAR TRANSPORT NAGAR  ",Rajasthan,Construction,HUMAN SETTLEMENTS TECHNOCRATS ANDCONTRACTORS PRIVATE LIMITED,"B-2, GOVIND MARGNEAR TRANSPORT NAGAR  ",Rajasthan,Construction,1
SAGUN MERCHANDISE,"58D, N S RoadGanesh Market  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,SAI KIREN TEXTILES,"6-3-347/9/N/107, N V PLAZADWARAKAPURI COLONY,PUNJAGUTTA  ",Telangana,Manufacturing,0
CREW DATA SYSTEMS INDIA,"H.NO. 14-10/102,BHASKAR NILAYAM,FLAT NO. 102, MADHUSUDHAN NAGAR  ",Telangana,Real estate renting and business activities,CREWDATASYSTEMSINDIA,"H.NO. 14-10/102,BHASKAR NILAYAM,FLAT NO. 102, MADHUSUDHAN NAGAR  ",Telangana,Real estate renting and business activities,1
VIBHUTI BUSINESS INDIA,"64/358, OPP. S.R.K. VISIONNEAR MUNICIPAL MARKET, DAMPIER NAGAR  ",Uttar Pradesh,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,BRIGHT ART CRAFTS,"C-138NARAINA INDUSTRIAL AREA , PHASE -1 , NARAINA  ",Delhi,Manufacturing,0
SQUARE CHIT FUND AND FINANCE,"DF-IST FLOOR, 10,JAISER PLACE, 5008 HAMDARD MARG  ",Delhi,Financial intermediation,COPY THAT FOODS,"FLAT NO 205, 2ND FLOOR, JANMABHOOMICHAMBER 29,WALCHAND HIRACHAND MARG  ",Maharashtra,Manufacturing,0
IP SHIPPING AND LOGISTICS,"MIG-28, C.G.HOUSING BOARD,32, ACRE INDUSTRIAL ESTATE,  ",Chattisgarh,Transport storage and communications,KRUTADNYA MANAGEMENT AND TRADINGSERVICES,C/O BHARAT FORGE LTDMUNDHWA  ,Maharashtra,Real estate renting and business activities,0
LAMHAS COMMUNICATIONS,"TOWER 1,6TH FLOOR,INTERNATIONAL INFOTECH PARK,ABOVE VASHI RAILWAY STATION COMPLEX,VASHI  ",Maharashtra,Real estate renting and business activities,LAMHAS COMMUNICATIONS PVT LTD,"TOWER 1,6TH FLOOR,INTERNATIONAL INFOTECH PARK,ABOVE VASHI RAILWAY STATION COMPLEX,VASHI  ",Maharashtra,Real estate renting and business activities,1
BOMBAY MERCURRY TRADERS ASSOCIATIONSLIMITED,"218 SAMUEL STREET,2ND FLOOR,  ",Maharashtra,Real estate renting and business activities,TECHNOVAA SOFTWARE HARDWARE SOLUTION,"SHREEVASTAV F NO. 10310/11, BHAGWAN DEEN NAGAR  ",Madhya Pradesh,Real estate renting and business activities,0
DIGITERA TECHNOLOGIES,"NO. 62/89, FIRST FLOOREAST END 'B' MAIN, 9TH BLOCK, JAYANAGAR  ",Karnataka,Real estate renting and business activities,DIGITERA TECHNOLOGIES LIMITED,"NO. 62/89, FIRST FLOOREAST END 'B' MAIN, 9TH BLOCK, JAYANAGAR  ",Karnataka,Real estate renting and business activities,1
GAMMA MINERAL AND CLAY COMBINE,"B 6 TANEAR RESIDENCYTULSI MARG,BANI PARKJAIPUR  ",Rajasthan,Manufacturing,GAMMA MINERAL AND CLAY COMBINE LIMITED,"B 6 TANEAR RESIDENCYTULSI MARG,BANI PARKJAIPUR  ",Rajasthan,Manufacturing,1
THE TALAGANG TRANSPORT COMPANY,"THE TALAGANG TRANSPORT COMPANY PRIVATE LIMITEDSADHAURA DISTRICT, AMBALA  ",Haryana,Transport storage and communications,THE TALAGANG TRANSPORT COMPANY PVT. LTD.,"THE TALAGANG TRANSPORT COMPANY PRIVATE LIMITEDSADHAURA DISTRICT, AMBALA  ",Haryana,Transport storage and communications,1
HAWA FASHION,CRESCENT CITY CENTRE TOWN HALL ROADBUDGAM SRINAGAR -250  ,Jammu and Kashmir,Real estate renting and business activities,HAWA FASHION PVT. LTD.,CRESCENT CITY CENTRE TOWN HALL ROADBUDGAM SRINAGAR -250  ,Jammu and Kashmir,Real estate renting and business activities,1
PARANKUSH COLD STORAGE,C/O LATE DURGA PRASADGOBORARA (BRAHMAN PARA)  ,West Bengal,Real estate renting and business activities,PARANKUSH COLD STORAGE PVT. LTD.,C/O LATE DURGA PRASADGOBORARA (BRAHMAN PARA)  ,West Bengal,Real estate renting and business activities,1
GOLDIE CANS,"488, BARTAN MARKET,SADAR BAZAR, DELHI.   ",Delhi,Manufacturing,PRIME SOLWOOD INDIA,"H.No-45,F/F Left Side,Zalidar Enclave,Block K-1Extn.Mohan Garden, Uttam Nagar Behind Kamal Model  ",Delhi,Manufacturing,0
BRAJSHREE AUTOPARTS,26BALAJI NAGAR  ,Madhya Pradesh,Real estate renting and business activities,JASMINE COMMODITIES,"C/O. KIFTA, 203, SARAT BOSE ROAD, 3RD FLOOR,NR-CANARA BANK BUILDING,  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
ESEL ENTERPRISES,"158 LENIN SARANI2ND FLOOR, ROOM NO-6/2B  ",West Bengal,Agriculture & allied,S I WORKS QUARRY,,Maharashtra,Extraterritorial organizations and bodies,0
GOLDENBULLS SECURITIES," F-110, 1st Floor, Shagun Arcade,Filmcity Road, Dindoshi, Malad (E)  ",Maharashtra,Financial intermediation,PRECISION CARTONS,"Plot No. 12, Survey No. 84/3, Mumbai Nasik RoadPundhe, Shahapur  ",Maharashtra,Real estate renting and business activities,0
MINE LEASING AND FINANCE,678 2ND FLOORSHOPPING CENTER   ,Gujarat,Financial intermediation,INSIGHTSMART LEARNING,"SHOP NO. 13 & 14, MARKET BUILDING,SECTOR-18  ",Orissa,Manufacturing,0
SHUBHCUBE SALES INDIA,"H. NO. 252 A, BASHARATPURTHANA- SHAHPUR, TEHSIL- GORAKHPUR SADAR  ",Uttar Pradesh,Real estate renting and business activities,SHUBHCUBE SALES INDIA PRIVATE LIMITED,"H. NO. 252 A, BASHARATPURTHANA- SHAHPUR, TEHSIL- GORAKHPUR SADAR  ",Uttar Pradesh,Real estate renting and business activities,1
EMPEROR REALCON,"50, JAWAHAR LAL NEHRU ROAD,11TH FLOOR,  ",West Bengal,Real estate renting and business activities,VALLAM REAL ESTATES,NO 13 RAGHAVEERA AVENUEPOES GARDEN  ,Tamil Nadu,Real estate renting and business activities,0
THE NEW BOOK COMPANY,KITAB MAHALDR D NAVROJI ROAD   ,Maharashtra,Manufacturing,JEETSONS DISTILLERY INDUSTRIES,"Block No. 1, Vishveshwar ApartmentSharanpur Road, Canada Corner  ",Maharashtra,Manufacturing,0
UPTODATE SYNTHETICS,"91, N S ROADROOM NO.40A 2ND FLOOR  ",West Bengal,Manufacturing,PRISAN CONTROLS,"E-10, NIRANJAN COMPLEX, SUS ROADPASHAN  ",Maharashtra,Manufacturing,0
LAGNITTA TECHNOLOGIES,"Pillaveedu, KarunilacodeEdava P.O. Varkala  ",Kerala,Real estate renting and business activities,BANTUS BUILDERS FURNITURE,B-3/82 VISHAL KHANDGOMTI NAGAR  ,Uttar Pradesh,Construction,0
YOGMAYA TIE UP,"Ganesh Complex,NH-6,Bombay road, rahgudevpur,P.O.Panchla,Howrah  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,YOGMAYA TIE UP PVT LTD,"Ganesh Complex,NH-6,Bombay road, rahgudevpur,P.O.Panchla,Howrah  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
SHASHA SOLAR POWER,"19, PALANIYAPPA LAYOUTNEELIKONAMPALAYAM  ",Tamil Nadu,Real estate renting and business activities,YOGESHWARI URBAN NIDHI,"H. No. 6/30, ChinchgavanU-I Unit, Tq. Majalgaon  ",Maharashtra,Financial intermediation,0
SUNLOK INFRA,"D.NO.32-9-2C, SIVALAYAM STREETMOGALRAJPURAM  ",Andhra Pradesh,Construction,NEXON HOLIDAYS,"34/2,RAM NAGAR EXTENSIONKRISHNA NAGAR  ",Delhi,Real estate renting and business activities,0
WADEKAR NURSING AND MATERNITY HOME,"C 802, SUN ORBIT, SUN CITY ROADANANDNAGAR, SINGHAGAD ROAD,  ",Maharashtra,Health and social work,WADEKAR NURSING AND MATERNITY HOME LIMITED,"C 802, SUN ORBIT, SUN CITY ROADANANDNAGAR, SINGHAGAD ROAD,  ",Maharashtra,Health and social work,1
ANJUCHIT FUND COMPANY,"32 RAM NAGAR MARKET, PAHARGANJ, NEW DELHI   ",Delhi,Financial intermediation,DBS TRADELINK AND ADVISORS,"FLAT NO - 702, PLOT NO - 31TWIN CITY CO-OP HSG SOCIETY, SECT 17, VASHI  ",Maharashtra,Real estate renting and business activities,0
TEJAS INFOTECH,"202, KANKU SMURUTI ROAD NO. 1PENDSE NAGAR, DOMBIVALI (E)  ",Maharashtra,Real estate renting and business activities,AMBIENT CORPORATE SERVICES,"SCO - 149, 2nd FLOORSECTOR - 7  ",Haryana,Real estate renting and business activities,0
NEXTWAVE INDIA,"208, Okhla Industrial Estate,Phase- III,  ",Delhi,Manufacturing,NEXTWAVEINDIA,"208, Okhla Industrial Estate,Phase- III,  ",Delhi,Manufacturing,1
O P CHAINS ALLOYS,"2/27,SETH GALI  ",Uttar Pradesh,Manufacturing,O P CHAINS ALLOYS PVT LTD,"2/27,SETH GALI  ",Uttar Pradesh,Manufacturing,1
SHREE GANESH FINSERVE,"1/1339, MALVIYA NAGAR,JAIPUR   ",Rajasthan,Financial intermediation,SHREE GANESH FINSERVE PVT. LTD.,"1/1339, MALVIYA NAGAR,JAIPUR   ",Rajasthan,Financial intermediation,1
